Date,Net Sales,Orders,Guests
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000656,19,19,
1970-01-01 00:00:00.000000666,17,17,
1970-01-01 00:00:00.000000373,12,12,
1970-01-01 00:00:00.000000817,24,24,
1970-01-01 00:00:00.000000932,28,28,
1970-01-01 00:00:00.000000709,24,24,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000312,16,16,
1970-01-01 00:00:00.000000461,18,18,
1970-01-01 00:00:00.000000323,10,10,
1970-01-01 00:00:00.000001112,35,35,
1970-01-01 00:00:00.000001203,32,32,
1970-01-01 00:00:00.000000569,17,17,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000147,7,7,
1970-01-01 00:00:00.000000303,10,10,
1970-01-01 00:00:00.000000327,10,10,
1970-01-01 00:00:00.000000835,30,30,
1970-01-01 00:00:00.000001286,38,38,
1970-01-01 00:00:00.000000636,19,19,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000359,12,12,
1970-01-01 00:00:00.000000338,10,10,
1970-01-01 00:00:00.000000555,17,17,
1970-01-01 00:00:00.000000711,27,27,
1970-01-01 00:00:00.000000805,22,22,
1970-01-01 00:00:00.000000805,27,27,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000375,18,18,
1970-01-01 00:00:00.000000296,10,10,
1970-01-01 00:00:00.000000333,11,11,
1970-01-01 00:00:00.000000872,34,34,
1970-01-01 00:00:00.000000952,24,24,
1970-01-01 00:00:00.000000958,28,28,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000498,16,16,
1970-01-01 00:00:00.000000410,14,14,
1970-01-01 00:00:00.000000420,15,15,
1970-01-01 00:00:00.000001394,41,41,
1970-01-01 00:00:00.000001333,34,34,
1970-01-01 00:00:00.000002289,41,41,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000285,8,8,
1970-01-01 00:00:00.000000762,23,23,
1970-01-01 00:00:00.000000537,15,15,
1970-01-01 00:00:00.000001539,50,50,
1970-01-01 00:00:00.000001096,28,28,
1970-01-01 00:00:00.000000891,29,29,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000334,13,13,
1970-01-01 00:00:00.000000410,19,19,
1970-01-01 00:00:00.000000430,23,23,
1970-01-01 00:00:00.000000941,30,30,
1970-01-01 00:00:00.000000864,24,24,
1970-01-01 00:00:00.000000555,18,18,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000190,8,8,
1970-01-01 00:00:00.000000407,13,13,
1970-01-01 00:00:00.000000422,16,16,
1970-01-01 00:00:00.000001084,29,29,
1970-01-01 00:00:00.000001392,41,41,
1970-01-01 00:00:00.000000913,32,32,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000508,16,16,
1970-01-01 00:00:00.000000453,18,18,
1970-01-01 00:00:00.000000755,17,17,
1970-01-01 00:00:00.000000809,28,28,
