Time,Net Sales,Orders,Guests
2.5,1,1,
99.15,1,1,
19.98,1,1,
1068.01,9,9,
4408.88,123,123,
5593.74,89,89,
4789.41,115,115,
5038.77,151,151,
8922.91,243,243,
17214.19,417,417,
21002.71,573,573,
15062.19,436,436,
7836.52,262,262,
4497.38,155,155,
3171.72,106,106,
305.25,13,13,
