Time,Net Sales,Orders,Guests
98.91,3,3,
29.94,1,1,
71.95,1,1,
33.96,1,1,
242.85,1,1,
24.98,1,1,
773.61,20,20,
9594.92,247,247,
7811.36,202,202,
11856.08,247,247,
13926.22,398,398,
16769.42,468,468,
29609.73,777,777,
38158.74,1045,1045,
33700.13,950,950,
24683.7,773,773,
19813.9,674,674,
10309.87,393,393,
2011.9,83,83,
