,Date,Net Sales,Orders,Guests
04/20/2023,1970-01-01 00:00:00.000000559,17,17,
04/21/2023,1970-01-01 00:00:00.000000636,22,22,
04/22/2023,1970-01-01 00:00:00.000000807,19,19,
04/23/2023,1970-01-01 00:00:00.000000706,21,21,
04/24/2023,1970-01-01 00:00:00.000000000,0,0,
04/25/2023,1970-01-01 00:00:00.000000317,11,11,
04/26/2023,1970-01-01 00:00:00.000000292,12,12,
04/27/2023,1970-01-01 00:00:00.000000327,12,12,
04/28/2023,1970-01-01 00:00:00.000000976,33,33,
04/29/2023,1970-01-01 00:00:00.000000478,19,19,
04/30/2023,1970-01-01 00:00:00.000001185,34,34,
05/01/2023,1970-01-01 00:00:00.000000000,0,0,
05/02/2023,1970-01-01 00:00:00.000000379,11,11,
05/03/2023,1970-01-01 00:00:00.000000266,11,11,
05/04/2023,1970-01-01 00:00:00.000000291,10,10,
05/05/2023,1970-01-01 00:00:00.000000663,25,25,
05/06/2023,1970-01-01 00:00:00.000001136,47,47,
05/07/2023,1970-01-01 00:00:00.000000676,20,20,
05/08/2023,1970-01-01 00:00:00.000000000,0,0,
05/09/2023,1970-01-01 00:00:00.000000348,15,15,
05/10/2023,1970-01-01 00:00:00.000000421,13,13,
05/11/2023,1970-01-01 00:00:00.000000651,23,23,
05/12/2023,1970-01-01 00:00:00.000001340,37,37,
05/13/2023,1970-01-01 00:00:00.000000975,31,31,
05/14/2023,1970-01-01 00:00:00.000000703,22,22,
05/15/2023,1970-01-01 00:00:00.000000000,0,0,
05/16/2023,1970-01-01 00:00:00.000000326,11,11,
05/17/2023,1970-01-01 00:00:00.000000369,13,13,
05/18/2023,1970-01-01 00:00:00.000000659,23,23,
05/19/2023,1970-01-01 00:00:00.000000454,13,13,
05/20/2023,1970-01-01 00:00:00.000000444,15,15,
05/21/2023,1970-01-01 00:00:00.000000340,13,13,
05/22/2023,1970-01-01 00:00:00.000000000,0,0,
05/23/2023,1970-01-01 00:00:00.000000272,8,8,
05/24/2023,1970-01-01 00:00:00.000000411,15,15,
05/25/2023,1970-01-01 00:00:00.000000367,13,13,
05/26/2023,1970-01-01 00:00:00.000000739,22,22,
05/27/2023,1970-01-01 00:00:00.000000780,24,24,
05/28/2023,1970-01-01 00:00:00.000000825,29,29,
05/29/2023,1970-01-01 00:00:00.000000000,0,0,
05/30/2023,1970-01-01 00:00:00.000000526,17,17,
05/31/2023,1970-01-01 00:00:00.000000444,15,15,
06/01/2023,1970-01-01 00:00:00.000000736,19,19,
06/02/2023,1970-01-01 00:00:00.000001305,45,45,
06/03/2023,1970-01-01 00:00:00.000000832,26,26,
06/04/2023,1970-01-01 00:00:00.000000490,16,16,
