Type,Menu,Menu group,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Item tags,Deferred,Qty sold,Avg. price,Avg. item price (not incl. mods),Gross sales,Discount amount,Refund amount,Void amount,Net sales,Tax,Waste count,Waste amount
"",Doordash Menu,Pizzas,,,,,,,505.0,22.77,,11497.11,0.0,0.0,0.0,11497.11,948.38,0.0,0.0
menuItem,Doordash Menu,Pizzas,Bros favorite Cheese Pizza,,,,[],false,33.0,18.22,0.00,601.17,0.0,0.0,0.0,601.17,49.63,0.0,0.0
menuItem,Doordash Menu,Pizzas,Classic Cheese Pizza,,,,[],false,63.0,21.32,0.00,1343.09,0.0,0.0,0.0,1343.09,110.8,0.0,0.0
menuItem,Doordash Menu,Pizzas,Alfredo Cheese Pizza,,,,[],false,25.0,20.56,0.00,514.09,0.0,0.0,0.0,514.09,42.44,0.0,0.0
menuItem,Doordash Menu,Pizzas,4Cheez with Hot Honey,,,,[],false,34.0,21.45,0.00,729.46,0.0,0.0,0.0,729.46,60.22,0.0,0.0
menuItem,Doordash Menu,Pizzas,Naga Habanero Mushroom,,,,[],false,5.0,22.58,0.00,112.9,0.0,0.0,0.0,112.9,9.32,0.0,0.0
menuItem,Doordash Menu,Pizzas,Spicy Naga Mushroom,,,,[],false,5.0,22.79,0.00,113.95,0.0,0.0,0.0,113.95,9.4,0.0,0.0
menuItem,Doordash Menu,Pizzas,Garlic Ghee Mushroom,,,,[],false,31.0,20.55,0.00,637.09,0.0,0.0,0.0,637.09,52.53,0.0,0.0
menuItem,Doordash Menu,Pizzas,Veggie Pizza,,,,[],false,12.0,20.90,0.00,250.85,0.0,0.0,0.0,250.85,20.7,0.0,0.0
menuItem,Doordash Menu,Pizzas,Naga Habanero Chicken,,,,[],false,24.0,25.16,0.00,603.73,0.0,0.0,0.0,603.73,49.85,0.0,0.0
menuItem,Doordash Menu,Pizzas,Spicy Naga Chicken,,,,[],false,27.0,23.71,0.00,640.2,0.0,0.0,0.0,640.2,52.74,0.0,0.0
menuItem,Doordash Menu,Pizzas,Alfredo Chicken,,,,[],false,9.0,21.76,0.00,195.87,0.0,0.0,0.0,195.87,16.17,0.0,0.0
menuItem,Doordash Menu,Pizzas,Naga Habanero Balachao,,,,[],false,4.0,18.74,0.00,74.96,0.0,0.0,0.0,74.96,6.17,0.0,0.0
menuItem,Doordash Menu,Pizzas,Spicy Balachao,,,,[],false,2.0,17.99,0.00,35.98,0.0,0.0,0.0,35.98,2.96,0.0,0.0
menuItem,Doordash Menu,Pizzas,Beef Pepperoni,,,,[],false,118.0,23.13,0.00,2729.89,0.0,0.0,0.0,2729.89,225.12,0.0,0.0
menuItem,Doordash Menu,Pizzas,Bengali Beef Pesto (Contains Nuts),,,,[],false,14.0,26.35,0.00,368.85,0.0,0.0,0.0,368.85,30.39,0.0,0.0
menuItem,Doordash Menu,Pizzas,Jhura Beef Pesto (contains Pine & Cashew Nuts),,,,[],false,9.0,26.37,0.00,237.36,0.0,0.0,0.0,237.36,19.58,0.0,0.0
menuItem,Doordash Menu,Pizzas,Meatlovers Pizza,,,,[],false,50.0,26.62,0.00,1331.19,0.0,0.0,0.0,1331.19,109.83,0.0,0.0
menuItem,Doordash Menu,Pizzas,Harissa Chicken,,,,[],false,10.0,25.49,0.00,254.86,0.0,0.0,0.0,254.86,21.03,0.0,0.0
menuItem,Doordash Menu,Pizzas,Beef Taco Pizza,,,,[],false,9.0,24.77,0.00,222.9,0.0,0.0,0.0,222.9,18.39,0.0,0.0
menuItem,Doordash Menu,Pizzas,Naga Habanero Paneer,,,,[],false,10.0,24.28,0.00,242.83,0.0,0.0,0.0,242.83,20.02,0.0,0.0
menuItem,Doordash Menu,Pizzas,Korean BBQ,,,,[],false,4.0,25.49,0.00,101.96,0.0,0.0,0.0,101.96,8.41,0.0,0.0
menuItem,Doordash Menu,Pizzas,Cheddar Birds,,,,[],false,2.0,22.48,0.00,44.96,0.0,0.0,0.0,44.96,3.71,0.0,0.0
menuItem,Doordash Menu,Pizzas,Spicy Italian,,,,[],false,2.0,23.25,0.00,46.49,0.0,0.0,0.0,46.49,3.82,0.0,0.0
menuItem,Doordash Menu,Pizzas,Bongo Tex Mex,,,,[],false,3.0,20.83,0.00,62.48,0.0,0.0,0.0,62.48,5.15,0.0,0.0
"",Doordash Menu,Pasta,,,,,,,21.0,12.13,,254.64,0.0,0.0,0.0,254.64,20.97,0.0,0.0
menuItem,Doordash Menu,Pasta,Alfredo Pasta,,,,[],false,13.0,12.75,9.99,165.75,0.0,0.0,0.0,165.75,13.66,0.0,0.0
menuItem,Doordash Menu,Pasta,Tomato Basil Pasta,,,,[],false,3.0,9.99,9.99,29.97,0.0,0.0,0.0,29.97,2.46,0.0,0.0
menuItem,Doordash Menu,Pasta,Naga Habanero Pasta,,,,[],false,5.0,11.78,9.99,58.92,0.0,0.0,0.0,58.92,4.85,0.0,0.0
"",Doordash Menu,Wraps,,,,,,,21.0,10.04,,210.79,0.0,0.0,0.0,210.79,17.43,0.0,0.0
menuItem,Doordash Menu,Wraps,Beef Chopped Cheese,,,,[],false,4.0,10.99,10.99,43.96,0.0,0.0,0.0,43.96,3.64,0.0,0.0
menuItem,Doordash Menu,Wraps,Chicken Wrap,,,,[],false,4.0,10.99,10.99,43.96,0.0,0.0,0.0,43.96,3.64,0.0,0.0
menuItem,Doordash Menu,Wraps,Paneer Wrap,,,,[],false,2.0,10.99,10.99,21.98,0.0,0.0,0.0,21.98,1.82,0.0,0.0
menuItem,Doordash Menu,Wraps,Mushroom Wrap,,,,[],false,3.0,10.99,10.99,32.97,0.0,0.0,0.0,32.97,2.73,0.0,0.0
menuItem,Doordash Menu,Wraps,Chicken Wrap,,,,[],false,3.0,8.66,8.66,25.97,0.0,0.0,0.0,25.97,2.14,0.0,0.0
menuItem,Doordash Menu,Wraps,Beef Chopped Cheese,,,,[],false,4.0,7.99,7.99,31.96,0.0,0.0,0.0,31.96,2.64,0.0,0.0
menuItem,Doordash Menu,Wraps,Beef Wrap,,,,[],false,1.0,9.99,9.99,9.99,0.0,0.0,0.0,9.99,0.82,0.0,0.0
"",Doordash Menu,Drinks,,,,,,,41.0,3.10,,127.09,0.0,0.0,0.0,127.09,10.43,0.0,0.0
menuItem,Doordash Menu,Drinks,Soda (Can),,,,[],false,29.0,3.33,3.33,96.71,0.0,0.0,0.0,96.71,8.01,0.0,0.0
menuItem,Doordash Menu,Drinks,Soft Drinks (Can),,,,[],false,12.0,2.53,2.53,30.38,0.0,0.0,0.0,30.38,2.42,0.0,0.0
"",Doordash Menu,Side,,,,,,,149.0,1.69,,251.31,0.0,0.0,0.0,251.31,20.40,0.0,0.0
menuItem,Doordash Menu,Side,Hot Honey,,,,[],false,25.0,1.99,1.99,49.75,0.0,0.0,0.0,49.75,4.01,0.0,0.0
menuItem,Doordash Menu,Side,Ranch,,,,[],false,53.0,1.54,1.54,81.47,0.0,0.0,0.0,81.47,6.61,0.0,0.0
menuItem,Doordash Menu,Side,Naga Dip,,,,[],false,40.0,1.99,1.99,79.6,0.0,0.0,0.0,79.6,6.43,0.0,0.0
menuItem,Doordash Menu,Side,Aged Parmesan,,,,[],false,13.0,1.99,1.99,25.87,0.0,0.0,0.0,25.87,2.1,0.0,0.0
