Type,Menu,Menu group,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Item tags,Deferred,Qty sold,Avg. price,Avg. item price (not incl. mods),Gross sales,Discount amount,Refund amount,Void amount,Net sales,Tax,Waste count,Waste amount
"",SauceBros POS,,,,,,,,7910.0,15.07,,119208.86,2733.58,45.98,3265.91,116429.30,9018.29,0.0,0.0
"",SauceBros POS,Pizzas,,,,,,,4519.0,22.41,,101269.10,1214.41,45.98,3005.39,100008.71,8040.33,0.0,0.0
menuItem,SauceBros POS,Pizzas,Korean BBQ,,,Pizza,[],false,295.0,23.88,0.00,7043.81,108.67,0.0,348.85,6935.14,548.68,0.0,0.0
menuItem,SauceBros POS,Pizzas,Naga Habanero Chicken,,,Pizza,[],false,741.0,23.03,-0.03,17062.46,193.08,21.99,804.1,16847.39,1356.02,0.0,0.0
menuItem,SauceBros POS,Pizzas,Beef Taco Pizza,,,Pizza,[],false,188.0,22.94,0.00,4312.89,60.02,0.0,175.92,4252.87,342.57,0.0,0.0
menuItem,SauceBros POS,Pizzas,Meatlovers Pizza,,,Pizza,[],false,390.0,25.49,-0.06,9941.42,113.38,23.99,317.87,9804.05,786.86,0.0,0.0
menuItem,SauceBros POS,Pizzas,Beef Pepperoni,,,Pizza,[],false,579.0,19.78,0.00,11454.27,153.61,0.0,454.72,11300.66,894.76,0.0,0.0
menuItem,SauceBros POS,Pizzas,Harissa Chicken,,,Pizza,[],false,218.0,22.03,0.00,4801.51,81.6,0.0,65.96,4719.91,383.31,0.0,0.0
menuItem,SauceBros POS,Pizzas,Bengali Beef Pesto (Contains Nuts),,,Pizza,[],false,153.0,25.12,0.00,3843.29,12.81,0.0,50.98,3830.48,316.2,0.0,0.0
menuItem,SauceBros POS,Pizzas,Alfredo Chicken,,,Pizza,[],false,130.0,20.56,0.00,2673.37,10.7,0.0,59.97,2662.67,219.79,0.0,0.0
menuItem,SauceBros POS,Pizzas,Naga Habanero Paneer,,,Pizza,[],false,154.0,21.94,0.00,3379.02,98.4,0.0,49.48,3280.62,266.99,0.0,0.0
menuItem,SauceBros POS,Pizzas,Naga Habanero Mushroom,,,Pizza,[],false,38.0,20.01,0.00,760.47,27.58,0.0,0.0,732.89,60.38,0.0,0.0
menuItem,SauceBros POS,Pizzas,Garlic Artichoke,,,Pizza,[],false,34.0,19.75,0.00,671.6,42.69,0.0,0.0,628.91,46.32,0.0,0.0
menuItem,SauceBros POS,Pizzas,Garlic Ghee Mushroom,,,Pizza,[],false,100.0,19.51,0.00,1950.66,10.71,0.0,0.0,1939.95,158.67,0.0,0.0
menuItem,SauceBros POS,Pizzas,Veggie Pizza,,,Pizza,[],false,144.0,19.22,0.00,2768.14,125.49,0.0,64.94,2642.65,176.54,0.0,0.0
menuItem,SauceBros POS,Pizzas,4Cheez with Hot Honey,,,Pizza,[],false,95.0,19.54,0.00,1856.72,27.91,0.0,17.99,1828.81,149.18,0.0,0.0
menuItem,SauceBros POS,Pizzas,Classic Cheese Pizza,,,Pizza,[],false,371.0,18.00,0.00,6678.81,114.9,0.0,124.91,6563.91,515.45,0.0,0.0
menuItem,SauceBros POS,Pizzas,Alfredo Cheese Pizza,,,Pizza,[],false,36.0,18.21,0.00,655.56,12.74,0.0,18.98,642.82,53.02,0.0,0.0
menuItem,SauceBros POS,Pizzas,Margarita,,,Pizza,[],false,44.0,18.65,0.00,820.39,0.0,0.0,0.0,820.39,67.68,0.0,0.0
menuItem,SauceBros POS,Pizzas,Naga Habanero Balachao,,,Pizza,[],false,29.0,17.54,0.00,508.71,3.08,0.0,0.0,505.63,41.71,0.0,0.0
menuItem,SauceBros POS,Pizzas,Customized Pizza,,,Pizza,[],false,44.0,23.37,0.00,1028.42,2.59,0.0,0.0,1025.83,84.69,0.0,0.0
menuItem,SauceBros POS,Pizzas,Half & Half,,,Pizza,[],false,736.0,25.89,0.00,19057.58,14.45,0.0,450.72,19043.13,1571.51,0.0,0.0
"",SauceBros POS,Pasta,,,,,,,315.0,12.68,,3993.02,8.78,0.0,115.84,3984.24,328.38,0.0,0.0
menuItem,SauceBros POS,Pasta,Alfredo Pasta,,,Pizza,[],false,165.0,13.00,9.99,2144.69,1.94,0.0,89.88,2142.75,176.65,0.0,0.0
menuItem,SauceBros POS,Pasta,Tomato Basil Pasta,,,Pizza,[],false,64.0,12.00,9.99,767.93,3.39,0.0,12.98,764.54,62.98,0.0,0.0
menuItem,SauceBros POS,Pasta,Naga Habanero Pasta,,,Pizza,[],false,86.0,12.56,9.99,1080.4,3.45,0.0,12.98,1076.95,88.75,0.0,0.0
"",SauceBros POS,Wraps,,,,,,,1274.0,8.02,,10221.12,1507.69,0.0,71.91,8713.43,350.36,0.0,0.0
