Menu group,Qty sold,Avg. price,Gross sales,Discount amount,Refund amount,Void amount,Net sales,Tax,Waste count,Waste amount
Pizzas,8679.0,21.42,185879.76,859.86,85.47,6008.89,184934.43,15158.91,0.0,0.0
Pasta,508.0,12.44,6321.25,14.48,0.0,74.89,6306.77,519.61,0.0,0.0
Wraps,1519.0,7.85,11927.64,562.71,0.0,269.05,11364.93,724.93,0.0,0.0
Drinks,1452.0,2.35,3406.41,2.16,0.0,42.05,3404.25,273.20,0.0,0.0
Side,1363.0,1.71,2324.34,2.89,1.99,27.21,2319.46,188.06,0.0,0.0
Pizza,56.0,10.94,612.69,0.0,0.0,1261.05,612.69,36.86,0.0,0.0
Pasta Tray,1.0,80.00,80.0,0.0,0.0,0.0,80.0,6.6,0.0,0.0
